tweet_id,timestamp,rating_numerator,rating_denominator,name,retweeted_status_id,text,Dog Stage,Cluster,p1,p2,p2_conf,p3,p3_conf,favorite_count,favorited,id,lang,retweet_count,retweeted
885311592912609280,2017-07-13 01:35:06,10,10,Lilly,8.305833205850685e+17,RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5,doggo,None,Labrador_retriever,seat_belt,0.0570909,pug,0.0119335,0,False,885311592912609280,English (US),19297,False
885311592912609280,2017-07-13 01:35:06,10,10,Lilly,8.305833205850685e+17,RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5,floofer,None,Labrador_retriever,seat_belt,0.0570909,pug,0.0119335,0,False,885311592912609280,English (US),19297,False
885311592912609280,2017-07-13 01:35:06,10,10,Lilly,8.305833205850685e+17,RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5,pupper,None,Labrador_retriever,seat_belt,0.0570909,pug,0.0119335,0,False,885311592912609280,English (US),19297,False
885311592912609280,2017-07-13 01:35:06,10,10,Lilly,8.305833205850685e+17,RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5,puppo,None,Labrador_retriever,seat_belt,0.0570909,pug,0.0119335,0,False,885311592912609280,English (US),19297,False
877611172832227328,2017-06-21 19:36:23,10,10,,8.76850772322988e+17,RT @rachel2195: @dog_rates the boyfriend and his soaking wet pupper h*cking love his new hat 14/10 https://t.co/dJx4Gzc50G,doggo,None,Irish_setter,golden_retriever,0.202907,Irish_terrier,0.107473,0,False,877611172832227328,English (US),83,False
877611172832227328,2017-06-21 19:36:23,10,10,,8.76850772322988e+17,RT @rachel2195: @dog_rates the boyfriend and his soaking wet pupper h*cking love his new hat 14/10 https://t.co/dJx4Gzc50G,floofer,None,Irish_setter,golden_retriever,0.202907,Irish_terrier,0.107473,0,False,877611172832227328,English (US),83,False
877611172832227328,2017-06-21 19:36:23,10,10,,8.76850772322988e+17,RT @rachel2195: @dog_rates the boyfriend and his soaking wet pupper h*cking love his new hat 14/10 https://t.co/dJx4Gzc50G,pupper,pupper,Irish_setter,golden_retriever,0.202907,Irish_terrier,0.107473,0,False,877611172832227328,English (US),83,False
877611172832227328,2017-06-21 19:36:23,10,10,,8.76850772322988e+17,RT @rachel2195: @dog_rates the boyfriend and his soaking wet pupper h*cking love his new hat 14/10 https://t.co/dJx4Gzc50G,puppo,None,Irish_setter,golden_retriever,0.202907,Irish_terrier,0.107473,0,False,877611172832227328,English (US),83,False
873697596434513921,2017-06-11 00:25:14,10,10,Walter,8.688803978194944e+17,RT @dog_rates: This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,doggo,None,laptop,French_bulldog,0.0999839,printer,0.0771299,0,False,873697596434513921,English (US),12518,False
873697596434513921,2017-06-11 00:25:14,10,10,Walter,8.688803978194944e+17,RT @dog_rates: This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,floofer,None,laptop,French_bulldog,0.0999839,printer,0.0771299,0,False,873697596434513921,English (US),12518,False
873697596434513921,2017-06-11 00:25:14,10,10,Walter,8.688803978194944e+17,RT @dog_rates: This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,pupper,None,laptop,French_bulldog,0.0999839,printer,0.0771299,0,False,873697596434513921,English (US),12518,False
